NO,약국명,대표전화,주소,월요일 운영,화요일 운영,수요일 운영,목요일 운영,금요일 운영,토요일 운영,일요일 운영,공휴일 운영
2794,민성약국,02-2245-7948,서울특별시 동대문구 한천로11길 32,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,-,-,-
2795,민생약국,02-547-7903,"서울특별시 강남구 언주로125길 6, (논현동)",08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,09:00~19:00,-,-
2796,민들레약국,02-575-1233,"서울특별시 서초구 강남대로30길 58, 1층 (양재동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,10:00~19:00,-,-
2797,미즈정문약국,02-2665-0302,서울특별시 강서구 강서로 299,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~18:00,09:00~20:00,-
2798,미즈약국,02-2661-2681,"서울특별시 강서구 강서로47가길 12, 1층 (내발산동)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:30,-,-
2799,미주약국,02-2665-7552,"서울특별시 강서구 양천로6길 28 (방화동, 도시개발12단지아파트)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,18:00~22:00,09:00~22:00
2800,미아팜약국,02-988-2376,"서울특별시 강북구 도봉로 65, 1층 (미아동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~16:00,-,-
2801,미아역온누리약국,02-985-7703,"서울특별시 강북구 도봉로 217, 1층 (미아동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,11:00~16:00,-
2802,미소진약국,02-2233-1554,서울특별시 성동구 장터길 19,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-
2803,하얀약국,02-2274-9119,"서울특별시 중구 마른내로 8-1, (저동2가)",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,09:00~13:00,-,-
2804,미소온누리약국,02-455-6813,"서울특별시 광진구 아차산로 373, 원이빌딩 1층 (구의동)",08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~15:00,-,-
2805,미소약국,02-853-9609,"서울특별시 관악구 남부순환로143나길 7, (신림동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-
2806,미소약국,02-3487-3454,"서울특별시 서초구 서운로 39, 1층 101호 (서초동, 원진빌딩)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~17:00,-,-
2807,미소약국,02-418-5090,서울특별시 송파구 오금로31길 11 (방이동),08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~19:00,-,-
2808,하비온누리약국,02-3402-3678,"서울특별시 송파구 송파대로 111, 205동 414호 (문정동, 파크하비오)",08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~16:00,-,-
2809,미소약국,02-470-8941,서울특별시 강동구 구천면로 232,09:00~18:40,09:00~18:40,09:00~18:40,09:00~18:40,09:00~18:40,09:00~14:00,-,-
2810,하님약국,02-939-1827,"서울특별시 노원구 한글비석로 410, 1층 (상계동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~20:00,-,-
2811,미소약국,02-2299-4041,"서울특별시 성동구 왕십리로 271-1, 1층 (행당동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
2812,하니약국,02-978-8583,"서울특별시 노원구 동일로 1099, (공릉동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,-,-
2813,미소약국,02-6352-5335,서울특별시 마포구 마포대로 68,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~16:00,-,-
2814,드림약국,02-955-0082,"서울특별시 도봉구 마들로 650, 3층 319호 (방학동, 도봉월드상가)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-
2815,드림삼성약국,02-871-8432,서울특별시 관악구 구암길 98,08:30~20:30,08:30~18:30,08:30~18:30,08:30~20:30,08:30~18:30,08:30~15:30,-,-
2816,둔촌온누리약국,02-473-2448,"서울특별시 강동구 양재대로 1325, 102,103호 (성내동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-
2817,둔촌세계로약국,02-471-4700,"서울특별시 강동구 양재대로 1319, 경일빌딩 1층 106호 (성내동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~16:00,-,-
2818,두산약국,02-888-2369,서울특별시 관악구 봉천로 391 (봉천동),09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,17:00~23:00,-,-
2819,두산약국,02-859-6414,"서울특별시 구로구 구로중앙로 16, 1층(구로동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,09:00~13:00,09:00~13:00
2820,참이화약국,02-2247-5029,"서울특별시 동대문구 천호대로 307, 106호(답십리동,클래식타워)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-
2821,두리약국,02-445-3188,서울특별시 강남구 일원로 35,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
2822,두리약국,02-969-3394,"서울특별시 성북구 돌곶이로 37, 1층 (석관동, 상지빌딩)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~14:00,-,-
2823,참온누리약국,02-754-5682,서울특별시 용산구 신흥로 150-1 (후암동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~16:00,-
2824,참약사엠바른약국,02-2039-0244,"서울특별시 중랑구 겸재로 164, 1층 103호 (면목동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~15:00,-,-
2825,참약국,02-3412-2577,서울특별시 강남구 일원로 95,09:00~18:40,09:00~18:40,09:00~18:40,09:00~18:40,09:00~18:40,09:00~13:00,-,-
2826,참약국,02-922-9458,서울특별시 성북구 종암로19길 6 (종암동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-
2827,참약국,02-979-2204,서울특별시 노원구 섬밭로 209,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-
2828,공항시장샘온누리약국,02-2064-2204,"서울특별시 강서구 방화동로 37, 메디스타워 102호 (방화동)",08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~17:00,-,-
2829,중계상록수약국,02-931-6528,"서울특별시 노원구 중계로 218, 원광빌딩 1층 102호 (중계동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~20:00,09:00~17:00,-
2830,미소약국,02-438-8278,"서울특별시 중랑구 망우로 412, 기성빌딩 2층 (망우동)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~14:00,-,-
2831,미소약국,02-930-2270,서울특별시 노원구 노원로 452,09:00~19:00,08:00~19:00,09:00~19:00,08:00~19:00,09:00~19:00,09:00~16:00,-,-
2832,미소로약국,02-3667-5066,서울특별시 영등포구 영신로 238,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-
2833,미소드림약국,02-747-6464,서울특별시 성북구 동소문로 10 1층,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~15:00,-,-
2834,미소담약국,02-6349-2589,"서울특별시 성북구 보국문로 49, 1층 (정릉동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-
2835,미소가득한약국,02-2636-6667,서울특별시 마포구 월드컵북로 396,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~19:00,09:00~19:00,09:00~19:00
2836,미소가득약국,02-3390-4513,"서울특별시 동대문구 장안벚꽃로 107, 상가1동 2층 215-1호 (장안동, 장안현대홈타운)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,09:00~19:00,09:00~14:00,-,-
2837,미션약국,02-930-4785,"서울특별시 노원구 동일로 1533, 102호 (상계동, 백산빌딩)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:00,-,-
2838,다온약국,02-2216-4333,"서울특별시 동대문구 답십리로 273, 한양빌딩 1층 (장안동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:30,-,-
2839,참약국,02-2208-1156,서울특별시 중랑구 상봉중앙로1길 12 (상봉동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
2840,늘픔약국,02-877-6995,"서울특별시 관악구 남부순환로 1635, 1층(신림동)",08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~16:00,-,-
2841,늘푸른솔약국,02-439-3435,서울특별시 중랑구 겸재로 178 (면목동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,06:00~16:00,-,-
2842,늘봄약국,02-471-5205,"서울특별시 송파구 토성로 78 (풍납동, 1층)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,-,-,-
2843,참성심약국,02-887-1131,"서울특별시 관악구 남부순환로 1862, (봉천동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~15:00,-,-
2844,농수산약국,02-400-1424,서울특별시 송파구 양재대로 932 (가락동),00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~16:00,00:00~18:00,-
2845,녹원당약국,02-989-8315,서울특별시 강북구 한천로105길 7,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
2846,참사랑약국,02-2144-6661,"서울특별시 송파구 올림픽로 212 (잠실동, 갤러리아팰리스)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,10:00~16:00,-,-
2847,참사랑약국,02-2292-7369,"서울특별시 성동구 마장로 300, (마장동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-
2848,21세기약국,02-888-2272,서울특별시 관악구 신림로 370,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~13:30,-,-
2849,하늘약국,02-856-7724,"서울특별시 구로구 시흥대로 547 (구로동, 금강빌딩)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:30,-,-
2850,21세기약국,02-2678-2854,서울특별시 영등포구 여의대방로 177 (신길동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-
2851,참사랑약국,02-2213-7588,"서울특별시 동대문구 답십리로56길 21, 상가동 102호 (답십리동, 두산아파트)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-
2852,하늘약국,02-2661-1278,"서울특별시 강서구 금낭화로 136, 118호 (방화동, 에어뷰)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~20:00,-,-
2853,21세기신천지약국,02-2678-3222,서울특별시 영등포구 영등포로 232-1,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~19:00,-,09:00~18:00
2854,21세기상계약국,02-937-2288,서울특별시 노원구 동일로 1548 (상계동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,10:00~19:00,-
2855,하늘약국,02-532-9434,"서울특별시 서초구 강남대로61길 3, 대승빌딩 101호 (서초동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~19:00,-,-
2856,하늘약국,02-412-1804,"서울특별시 송파구 백제고분로 276, 202호 (석촌동)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~14:00,-,-
2857,하늘약국,02-322-2365,"서울특별시 마포구 독막로 2, 2층 (합정동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
2858,21세기보배약국,02-952-9937,서울특별시 노원구 덕릉로 780,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~20:30,-,09:00~20:30
2859,하늘약국,02-435-8813,서울특별시 중랑구 망우로 198 (상봉동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-
2860,1층호약국,02-933-9487,"서울특별시 노원구 한글비석로 383, 1층 일부호 (중계동, 삼창타워프라자)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-
2861,1번약국,02-851-1155,서울특별시 구로구 구로동로 132 (구로동),08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,09:00~18:00,-,-
2862,100세약국,02-2678-8217,"서울특별시 영등포구 양평로 24, (당산동6가)",08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~18:30,-,-
2863,노원약국,02-933-7832,"서울특별시 노원구 노해로 501, 1층 103호 (상계동, 노원빌딩)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-
2864,참미래약국,02-2063-3549,서울특별시 강서구 공항대로41길 66 (등촌동) 133호,09:00~20:00,09:00~19:00,09:00~19:00,09:00~20:00,09:00~19:00,09:00~15:00,-,-
2865,참마음약국,02-3141-0258,"서울특별시 마포구 양화로 73, (서교동)",08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,09:30~16:00,-,-
2866,두레약국,02-429-1662,"서울특별시 강동구 고덕로83길 6, 101호 (고덕동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~20:00,10:00~19:00,-
2867,착한약국,02-873-9578,서울특별시 관악구 호암로 535 2층,08:10~20:30,08:10~20:30,08:10~20:30,08:10~20:30,08:10~20:30,08:10~17:00,-,-
2868,동호일층약국,02-949-1630,"서울특별시 중랑구 동일로 925, 1층 (묵동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-
2869,동호약국,02-567-3935,서울특별시 강남구 테헤란로114길 16,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~16:00,-,-
2870,동현약국,02-472-7722,"서울특별시 강동구 양재대로127길 19, (천호동)",07:00~24:00,07:00~24:00,07:00~24:00,07:00~24:00,07:00~24:00,07:00~24:00,08:00~24:00,07:00~24:00
2871,동현당약국,02-547-8207,"서울특별시 강남구 언주로146길 18 (논현동, 동현아파트)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~18:00,-,-
2872,동주약국,02-486-2664,서울특별시 강동구 명일로 243,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-
2873,착한약국,02-453-5775,서울특별시 광진구 자양로 43 (자양동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,-,-
2874,동일프라자약국,02-2687-9416,"서울특별시 양천구 신정로7길 60-5, 107호(신정동,동일프라자빌딩)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-
2875,동일약국,02-2625-2282,서울특별시 양천구 월정로 139-1,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,-,-
2876,동일약국,02-936-0811,서울특별시 노원구 동일로 1341 (상계동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~16:00,-,-
2877,동인프라자약국,02-2605-9844,서울특별시 양천구 남부순환로40길 13 (신월동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~17:00,-,-
2878,차약국,02-878-0188,"서울특별시 관악구 중앙길 5, (봉천동)",08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~18:00,08:30~18:00,-
2879,동인프라자약국,02-3411-3388,서울특별시 강남구 밤고개로1길 10,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,-,-
2880,차기정약국,02-2687-7712,"서울특별시 구로구 개봉로3길 76, (개봉동)",09:00~21:00,09:00~21:00,09:00~19:00,09:00~21:00,09:00~21:00,09:00~17:00,-,-
2881,동의삼성약국,02-400-2636,서울특별시 송파구 거마로22길 49 (마천동),09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,13:00~22:00,-
2882,뉴우리약국,02-2205-3366,"서울특별시 광진구 아차산로 237, 삼진빌딩 5층 (화양동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,-,-,-
2883,참사랑약국,02-831-4091,"서울특별시 동작구 신대방1가길 38, 105동 3층 309호 (신대방동, 동작상떼빌아파트)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:30,-,-
2884,진호메디칼약국,02-353-5172,서울특별시 은평구 통일로 723,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~16:00,-,-
2885,진주약국,02-446-8279,서울특별시 광진구 자양로15길 9 (자양동),08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~16:30,-,-
2886,진영약국,02-454-8827,"서울특별시 광진구 아차산로57길 42, (구의동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-
2887,진약국,02-407-6796,서울특별시 송파구 동남로 138,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,-,-
2888,진약국,02-486-2347,"서울특별시 강동구 구천면로 304, 3층 (천호동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~14:00,-,-
2889,진약국,02-2294-2828,서울특별시 성동구 왕십리로 315,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~16:00,-,-
2890,진약국,02-3143-3755,서울특별시 서대문구 연희로 94,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~16:00,-,-
2891,진약국,02-935-8266,"서울특별시 노원구 노해로 452, (상계동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~17:00,-,-
2892,진약국,02-902-6438,서울특별시 강북구 한천로 1148,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
2893,동원약국,02-883-7525,"서울특별시 관악구 신림로 360-1, (신림동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-
2894,동우약국,02-574-2678,서울특별시 서초구 남부순환로356길 15,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,-,-
2895,동아약국,02-485-4195,"서울특별시 강동구 천호대로 997, (천호동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~19:00,-,-
2896,동아약국,02-794-8873,서울특별시 용산구 회나무로 16 (이태원동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,10:00~19:00,-
2897,동아약국,02-2214-7937,"서울특별시 동대문구 서울시립대로 31, 102-119호 (전농동, 동아아파트)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-
2898,동아약국,02-434-6683,서울특별시 중랑구 동일로130길 52 (중화동),08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,-,-
2899,진선미약국,02-2248-7588,서울특별시 동대문구 한천로 86 (장안동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-
2900,동신약국,02-2655-0974,"서울특별시 양천구 목동동로12길 17, (목동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,-,-
2901,진로약국,02-469-0401,"서울특별시 성동구 성덕정길 106, (성수동2가)",08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~15:00,-,-
2902,동성약국,02-854-3357,서울특별시 구로구 디지털로19길 51,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-
2903,동성약국,02-2666-5092,서울특별시 강서구 금낭화로23길 8,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~13:00,-,-
2904,수약국,02-3421-1459,"서울특별시 중랑구 신내로 82, 금강프라자 1층 108호 (신내동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,-
2905,맑은약국,02-389-0875,"서울특별시 은평구 진관2로 57-7, 253동 104호 (진관동, 은평뉴타운우물골)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,09:00~13:00,-
2906,햇빛약국,02-711-5982,"서울특별시 마포구 마포대로 68, 408-2호 (도화동, 마포아크로타워)",08:00~19:30,08:00~19:30,08:00~19:30,08:00~19:30,08:00~19:30,08:00~14:00,08:00~14:00,08:00~14:00
2907,회현약국,02-3789-6399,"서울특별시 중구 퇴계로 36, 삼선빌딩 302호 (남창동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
2908,건강플러스약국,02-935-5347,서울특별시 노원구 상계로1길 38 (상계동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~16:00,-,-
2909,밸런스약국,02-3663-5677,"서울특별시 강서구 공항대로 237, 107호 (마곡동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:30,-,-
2910,우정약국,02-713-5408,"서울특별시 용산구 백범로 341, A동 315호 (원효로1가)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-
2911,영약국,02-400-3506,"서울특별시 송파구 송파대로 345, 1A동 5층 5001호 (가락동, 헬리오시티)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~17:00,-,-
2912,유니약국,02-6989-8070,"서울특별시 강서구 마곡중앙로 161-8, 두산더랜드파크 A동 A210호 (마곡동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~14:00,09:00~18:00,08:00~16:00,-,-
2913,은평자연약국,02-389-1101,"서울특별시 은평구 서오릉로 162, 1층 103호 (갈현동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,14:00~21:00,14:00~21:00
2914,엔젤약국,070-7543-5108,"서울특별시 강서구 양천로 476, 금부빌딩 402호 (등촌동)",08:30~19:00,08:30~20:30,08:30~19:00,08:30~20:30,08:30~19:00,08:30~14:00,-,-
2915,제일약국,02-417-8486,"서울특별시 송파구 백제고분로 457, 다우빌딩 (방이동)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~16:00,-,-
2916,마이팜약국,02-738-3044,서울특별시 종로구 통일로16길 2 (무악동),09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-
2917,웰그린약국,02-501-1600,"서울특별시 강남구 선릉로 311, 1층 103호 (역삼동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~17:00,-
2918,압구정퀸약국,02-3447-1119,"서울특별시 강남구 논현로 853, 1층 (신사동)",08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:30~18:00,-,-
2919,서울제일약국,02-2205-2960,"서울특별시 광진구 긴고랑로 47, 1층 (중곡동)",08:30~21:00,08:30~19:00,08:30~19:00,08:30~21:00,08:30~19:00,08:30~14:00,-,-
2920,스타온누리약국,02-2039-2733,"서울특별시 광진구 동일로 178, 광진캠퍼스시티 1층 104호 (화양동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~14:00,-,-
2921,신용산약국,02-795-3774,서울특별시 용산구 한강대로15길 9-18 (한강로3가),08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
2922,제일약국,02-792-8422,"서울특별시 용산구 대사관로 60, 1층 (한남동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-
2923,평화약국,02-336-6307,"서울특별시 마포구 양화로 64, 서교제일빌딩 2층 202호 (서교동)",08:00~14:00,08:00~14:00,08:00~14:00,08:00~14:00,08:00~14:00,-,-,-
2924,대림약국,02-374-2046,"서울특별시 은평구 은평터널로 65, 101호,110호 (수색동, 대림한숲타운아파트)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
2925,메디팜삼보약국,02-387-2830,서울특별시 은평구 연서로 332 (불광동),08:00~20:30,08:00~20:30,08:00~20:30,08:00~20:30,08:00~20:30,08:00~20:30,-,-
2926,명진팜약국,02-6326-7353,"서울특별시 강서구 마곡중앙로 161-17, 보타닉파크타워Ⅰ 110호 (마곡동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,-,-,-
2927,마래푸약국,02-362-2080,"서울특별시 마포구 신촌로34길 37, 1층 (아현동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~19:00,-,09:00~19:00
2928,마포웰츠약국,02-715-6034,"서울특별시 마포구 백범로 202, 201호 (신공덕동, 마포KCC웰츠타워)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~14:00,-,-
2929,맑은약국,02-2083-0456,"서울특별시 강서구 양천로 600, 1층 (등촌동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-
2930,맘스케어약국,02-365-4110,"서울특별시 마포구 마포대로 201 (아현동, 마포트라팰리스2차)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~15:00,-,-
2931,망원동약국,02-333-9915,"서울특별시 마포구 망원로 69, 1층 (망원동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,-,-,13:00~20:00
2932,메디팜신마포약국,02-706-7656,"서울특별시 마포구 창전로 45, 103동 108호 (창전동, 서강한화오벨리스크 단지내 상가)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-
2933,옵티마상원약국,02-322-8900,"서울특별시 마포구 월드컵로 75, 1층 (망원동)",08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,10:00~21:00,10:00~21:00,10:00~21:00
2934,이화키즈팜약국,02-312-3125,"서울특별시 마포구 마포대로 195, 4단지상가동 219호 (아현동, 마포래미안푸르지오)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~13:30,08:30~13:30,08:30~13:30
